Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 67.0.3396.99,,2018-07-11 18:22:38,2018-07-11 18:32:02,9m - 23.884s,FAILED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-04,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Day summary report,2018-07-11 18:22:38,2018-07-11 18:24:03,1m - 24.462s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 18:22:39,2018-07-11 18:22:42,3.821s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 18:22:42,2018-07-11 18:22:42,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 18:22:42,2018-07-11 18:24:02,1m - 19.492s,PASSED
Statement - Catch (Exception e),Chrome 67.0.3396.99,,2018-07-11 18:24:02,2018-07-11 18:24:02,0.277s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 18:24:02,2018-07-11 18:24:02,0.010s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 18:24:02,2018-07-11 18:24:03,0.653s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-05,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in Daypart summary report,2018-07-11 18:24:03,2018-07-11 18:25:24,1m - 20.676s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 18:24:03,2018-07-11 18:24:06,3.346s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 18:24:07,2018-07-11 18:24:07,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 18:24:07,2018-07-11 18:25:23,1m - 16.425s,PASSED
Statement - Catch (Exception e),Chrome 67.0.3396.99,,2018-07-11 18:25:23,2018-07-11 18:25:23,0.001s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 18:25:23,2018-07-11 18:25:23,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 18:25:23,2018-07-11 18:25:24,0.681s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Account_Setting-Timezone-06,Chrome 67.0.3396.99,To verify that time zone is displayed in CST in weekly summary report,2018-07-11 18:25:24,2018-07-11 18:27:41,2m - 17.500s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 18:25:24,2018-07-11 18:25:27,3.039s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 18:25:27,2018-07-11 18:25:27,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 18:25:27,2018-07-11 18:27:40,2m - 13.598s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 18:27:40,2018-07-11 18:27:40,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 18:27:40,2018-07-11 18:27:41,0.675s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Day summary report,2018-07-11 18:27:41,2018-07-11 18:28:50,1m - 8.664s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 18:27:41,2018-07-11 18:27:44,3.084s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 18:27:44,2018-07-11 18:27:44,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 18:27:44,2018-07-11 18:28:49,1m - 4.618s,PASSED
Statement - Catch (Exception e),Chrome 67.0.3396.99,,2018-07-11 18:28:49,2018-07-11 18:28:49,0.012s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 18:28:49,2018-07-11 18:28:49,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 18:28:49,2018-07-11 18:28:50,0.765s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Daypart summary report,2018-07-11 18:28:50,2018-07-11 18:30:00,1m - 10.496s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 18:28:50,2018-07-11 18:28:53,3.010s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 18:28:53,2018-07-11 18:28:53,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 18:28:53,2018-07-11 18:30:00,1m - 6.670s,PASSED
Statement - Catch (Exception e),Chrome 67.0.3396.99,,2018-07-11 18:30:00,2018-07-11 18:30:00,0.011s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.99,,2018-07-11 18:30:00,2018-07-11 18:30:00,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-11 18:30:00,2018-07-11 18:30:00,0.669s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-03,Chrome 67.0.3396.99,To verify that time zone is displayed in EST in Weekly summary report.,2018-07-11 18:30:00,2018-07-11 18:32:02,2m - 1.656s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-11 18:30:00,2018-07-11 18:30:03,3.064s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.99,,2018-07-11 18:30:04,2018-07-11 18:30:04,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-11 18:30:04,2018-07-11 18:32:01,1m - 57.766s,PASSED
